,Community,month,year,Street_lights
2993,42,4,2010,7
2994,42,4,2011,25
2995,42,4,2012,23
2996,42,4,2013,13
2997,42,4,2014,4
2998,42,4,2015,15
2999,42,4,2016,10
3000,42,4,2017,8
3001,42,4,2018,6
3002,42,5,2009,1
3003,42,5,2010,14
3004,42,5,2011,30
3005,42,5,2012,43
3006,42,5,2013,28
3007,42,5,2014,7
3008,42,5,2015,22
3009,42,5,2016,9
3010,42,5,2017,7
3011,42,5,2018,6
3012,42,6,2010,10
3013,42,6,2011,35
3014,42,6,2012,22
3015,42,6,2013,13
3016,42,6,2014,9
3017,42,6,2015,11
3018,42,6,2016,19
3019,42,6,2017,8
3020,42,6,2018,13
3021,42,7,2010,10
3022,42,7,2011,25
3023,42,7,2012,37
3024,42,7,2013,17
3025,42,7,2014,7
3026,42,7,2015,5
3027,42,7,2016,15
3028,42,7,2017,7
3029,42,7,2018,8
3030,42,8,2010,16
3031,42,8,2011,23
3032,42,8,2012,38
3033,42,8,2013,16
3034,42,8,2014,8
3035,42,8,2015,6
3036,42,8,2016,11
3037,42,8,2017,6
3038,42,8,2018,5
3039,42,9,2008,1
3040,42,9,2009,5
3041,42,9,2010,11
3042,42,9,2011,30
3043,42,9,2012,17
3044,42,9,2013,16
3045,42,9,2014,4
3046,42,9,2015,5
3047,42,9,2016,4
3048,42,9,2017,7
3049,42,9,2018,14
3050,42,10,2009,3
3051,42,10,2010,16
3052,42,10,2011,13
3053,42,10,2012,12
3054,42,10,2013,11
3055,42,10,2014,5
3056,42,10,2015,14
3057,42,10,2016,9
3058,42,10,2017,7
3059,42,10,2018,6
3060,42,11,2009,3
3061,42,11,2010,5
3062,42,11,2011,19
3063,42,11,2012,14
3064,42,11,2013,10
3065,42,11,2014,17
3066,42,11,2015,9
3067,42,11,2016,10
3068,42,11,2017,1
3069,42,12,2009,1
3070,42,12,2010,8
3071,42,12,2011,11
3072,42,12,2012,5
3073,42,12,2013,8
3074,42,12,2014,5
3075,42,12,2015,9
3076,42,12,2016,5
3077,42,12,2017,3
3078,43,1,2010,2
3079,43,1,2011,37
3080,43,1,2012,18
3081,43,1,2013,13
3082,43,1,2014,8
3083,43,1,2015,6
3084,43,1,2016,12
3085,43,1,2017,15
3086,43,1,2018,9
3087,43,2,2010,3
3088,43,2,2011,38
3089,43,2,2012,21
3090,43,2,2013,4
3091,43,2,2014,8
3092,43,2,2015,5
3093,43,2,2016,11
3094,43,2,2017,13
3095,43,2,2018,3
3096,43,3,2010,17
3097,43,3,2011,29
3098,43,3,2012,29
3099,43,3,2013,11
3100,43,3,2014,14
3101,43,3,2015,10
3102,43,3,2016,10
3103,43,3,2017,12
3104,43,3,2018,11
3105,43,4,2010,16
3106,43,4,2011,40
3107,43,4,2012,25
3108,43,4,2013,17
3109,43,4,2014,13
3110,43,4,2015,18
3111,43,4,2016,20
3112,43,4,2017,16
3113,43,4,2018,11
3114,43,5,2009,1
3115,43,5,2010,22
3116,43,5,2011,53
3117,43,5,2012,43
3118,43,5,2013,21
3119,43,5,2014,22
3120,43,5,2015,12
3121,43,5,2016,21
3122,43,5,2017,6
3123,43,5,2018,11
3124,43,6,2010,22
3125,43,6,2011,50
3126,43,6,2012,32
3127,43,6,2013,14
3128,43,6,2014,25
3129,43,6,2015,14
3130,43,6,2016,12
3131,43,6,2017,8
3132,43,6,2018,8
3133,43,7,2010,32
3134,43,7,2011,42
3135,43,7,2012,30
3136,43,7,2013,24
3137,43,7,2014,28
3138,43,7,2015,30
3139,43,7,2016,10
3140,43,7,2017,11
3141,43,7,2018,15
3142,43,8,2009,1
3143,43,8,2010,24
3144,43,8,2011,51
3145,43,8,2012,45
3146,43,8,2013,26
3147,43,8,2014,24
3148,43,8,2015,19
3149,43,8,2016,10
3150,43,8,2017,14
3151,43,8,2018,14
3152,43,9,2008,1
3153,43,9,2009,4
3154,43,9,2010,17
3155,43,9,2011,42
3156,43,9,2012,30
3157,43,9,2013,13
3158,43,9,2014,20
3159,43,9,2015,28
3160,43,9,2016,4
3161,43,9,2017,6
3162,43,9,2018,29
3163,43,10,2009,4
3164,43,10,2010,19
3165,43,10,2011,33
3166,43,10,2012,16
3167,43,10,2013,18
3168,43,10,2014,8
3169,43,10,2015,22
3170,43,10,2016,7
3171,43,10,2017,15
3172,43,10,2018,8
3173,43,11,2009,6
3174,43,11,2010,16
3175,43,11,2011,24
3176,43,11,2012,18
3177,43,11,2013,10
3178,43,11,2014,18
3179,43,11,2015,10
3180,43,11,2016,7
3181,43,11,2017,3
3182,43,12,2009,1
3183,43,12,2010,29
3184,43,12,2011,41
3185,43,12,2012,19
3186,43,12,2013,8
3187,43,12,2014,14
3188,43,12,2015,12
3189,43,12,2016,3
3190,43,12,2017,10
3191,44,1,2010,4
3192,44,1,2011,10
3193,44,1,2012,20
3194,44,1,2013,18
3195,44,1,2014,3
3196,44,1,2015,4
3197,44,1,2016,3
3198,44,1,2017,5
3199,44,1,2018,18
