,Community,month,year,Sanitation_request
6092,66.0,10,2013,22
6093,66.0,10,2014,25
6094,66.0,10,2015,30
6095,66.0,10,2016,54
6096,66.0,10,2017,18
6097,66.0,10,2018,16
6098,66.0,11,2011,19
6099,66.0,11,2012,15
6100,66.0,11,2013,19
6101,66.0,11,2014,12
6102,66.0,11,2015,25
6103,66.0,11,2016,28
6104,66.0,11,2017,18
6105,66.0,12,2010,6
6106,66.0,12,2011,24
6107,66.0,12,2012,16
6108,66.0,12,2013,7
6109,66.0,12,2014,24
6110,66.0,12,2015,33
6111,66.0,12,2016,20
6112,66.0,12,2017,17
6113,67.0,1,2011,32
6114,67.0,1,2012,34
6115,67.0,1,2013,33
6116,67.0,1,2014,8
6117,67.0,1,2015,8
6118,67.0,1,2016,9
6119,67.0,1,2017,25
6120,67.0,1,2018,16
6121,67.0,2,2011,32
6122,67.0,2,2012,64
6123,67.0,2,2013,12
6124,67.0,2,2014,9
6125,67.0,2,2015,21
6126,67.0,2,2016,19
6127,67.0,2,2017,26
6128,67.0,2,2018,12
6129,67.0,3,2011,64
6130,67.0,3,2012,79
6131,67.0,3,2013,42
6132,67.0,3,2014,31
6133,67.0,3,2015,48
6134,67.0,3,2016,28
6135,67.0,3,2017,29
6136,67.0,3,2018,53
6137,67.0,4,2011,64
6138,67.0,4,2012,59
6139,67.0,4,2013,48
6140,67.0,4,2014,54
6141,67.0,4,2015,57
6142,67.0,4,2016,30
6143,67.0,4,2017,24
6144,67.0,4,2018,34
6145,67.0,5,2011,57
6146,67.0,5,2012,82
6147,67.0,5,2013,71
6148,67.0,5,2014,68
6149,67.0,5,2015,63
6150,67.0,5,2016,54
6151,67.0,5,2017,79
6152,67.0,5,2018,85
6153,67.0,6,2011,76
6154,67.0,6,2012,83
6155,67.0,6,2013,76
6156,67.0,6,2014,51
6157,67.0,6,2015,97
6158,67.0,6,2016,55
6159,67.0,6,2017,78
6160,67.0,6,2018,114
6161,67.0,7,2011,56
6162,67.0,7,2012,65
6163,67.0,7,2013,90
6164,67.0,7,2014,57
6165,67.0,7,2015,63
6166,67.0,7,2016,43
6167,67.0,7,2017,57
6168,67.0,7,2018,94
6169,67.0,8,2011,77
6170,67.0,8,2012,137
6171,67.0,8,2013,56
6172,67.0,8,2014,36
6173,67.0,8,2015,59
6174,67.0,8,2016,61
6175,67.0,8,2017,60
6176,67.0,8,2018,90
6177,67.0,9,2011,52
