,Community,month,year,Street_lights
2554,26,6,2015,163
2555,26,6,2016,78
2556,26,6,2017,69
2557,26,6,2018,37
2558,26,7,2011,14
2559,26,7,2012,26
2560,26,7,2013,16
2561,26,7,2014,111
2562,26,7,2015,135
2563,26,7,2016,138
2564,26,7,2017,115
2565,26,7,2018,51
2566,26,8,2011,11
2567,26,8,2012,53
2568,26,8,2013,61
2569,26,8,2014,133
2570,26,8,2015,252
2571,26,8,2016,104
2572,26,8,2017,175
2573,26,8,2018,38
2574,26,9,2010,3
2575,26,9,2011,18
2576,26,9,2012,18
2577,26,9,2013,21
2578,26,9,2014,96
2579,26,9,2015,71
2580,26,9,2016,44
2581,26,9,2017,38
2582,26,9,2018,72
2583,26,10,2010,7
2584,26,10,2011,18
2585,26,10,2012,14
2586,26,10,2013,14
2587,26,10,2014,70
2588,26,10,2015,47
2589,26,10,2016,71
2590,26,10,2017,37
2591,26,10,2018,41
2592,26,11,2010,2
2593,26,11,2011,40
2594,26,11,2012,16
2595,26,11,2013,7
2596,26,11,2014,103
2597,26,11,2015,60
2598,26,11,2016,148
2599,26,11,2017,40
2600,26,12,2010,2
2601,26,12,2011,16
2602,26,12,2012,19
2603,26,12,2013,18
2604,26,12,2014,22
2605,26,12,2015,58
2606,26,12,2016,60
2607,26,12,2017,49
2608,27,1,2011,21
2609,27,1,2012,18
2610,27,1,2013,17
2611,27,1,2014,8
2612,27,1,2015,85
2613,27,1,2016,56
2614,27,1,2017,80
2615,27,1,2018,63
2616,27,2,2011,10
2617,27,2,2012,18
2618,27,2,2013,7
2619,27,2,2014,8
2620,27,2,2015,155
2621,27,2,2016,60
2622,27,2,2017,79
2623,27,2,2018,210
2624,27,3,2011,22
2625,27,3,2012,17
2626,27,3,2013,9
2627,27,3,2014,14
2628,27,3,2015,47
2629,27,3,2016,18
2630,27,3,2017,80
2631,27,3,2018,65
2632,27,4,2011,25
2633,27,4,2012,14
2634,27,4,2013,23
2635,27,4,2014,21
2636,27,4,2015,54
2637,27,4,2016,51
2638,27,4,2017,130
2639,27,4,2018,35
2640,27,5,2011,36
2641,27,5,2012,28
2642,27,5,2013,8
2643,27,5,2014,71
2644,27,5,2015,107
2645,27,5,2016,107
2646,27,5,2017,52
2647,27,5,2018,63
2648,27,6,2011,38
2649,27,6,2012,9
2650,27,6,2013,7
2651,27,6,2014,156
2652,27,6,2015,38
2653,27,6,2016,56
2654,27,6,2017,47
2655,27,6,2018,40
2656,27,7,2011,30
2657,27,7,2012,15
2658,27,7,2013,9
2659,27,7,2014,175
2660,27,7,2015,57
2661,27,7,2016,99
2662,27,7,2017,28
2663,27,7,2018,26
2664,27,8,2011,29
2665,27,8,2012,61
2666,27,8,2013,59
2667,27,8,2014,112
2668,27,8,2015,85
2669,27,8,2016,123
2670,27,8,2017,66
2671,27,8,2018,45
2672,27,9,2011,39
2673,27,9,2012,29
2674,27,9,2013,21
2675,27,9,2014,57
2676,27,9,2015,91
2677,27,9,2016,62
2678,27,9,2017,54
2679,27,9,2018,26
2680,27,10,2010,7
2681,27,10,2011,47
2682,27,10,2012,24
2683,27,10,2013,31
2684,27,10,2014,103
2685,27,10,2015,63
2686,27,10,2016,38
2687,27,10,2017,59
2688,27,10,2018,49
2689,27,11,2010,11
2690,27,11,2011,28
2691,27,11,2012,21
2692,27,11,2013,20
2693,27,11,2014,104
2694,27,11,2015,157
2695,27,11,2016,38
2696,27,11,2017,183
2697,27,12,2010,8
2698,27,12,2011,13
2699,27,12,2012,17
2700,27,12,2013,4
2701,27,12,2014,23
2702,27,12,2015,59
2703,27,12,2016,42
2704,27,12,2017,108
2705,28,1,2011,20
2706,28,1,2012,70
2707,28,1,2013,120
2708,28,1,2014,20
2709,28,1,2015,95
2710,28,1,2016,95
2711,28,1,2017,112
2712,28,1,2018,174
2713,28,2,2011,13
2714,28,2,2012,20
2715,28,2,2013,28
2716,28,2,2014,18
2717,28,2,2015,59
2718,28,2,2016,160
2719,28,2,2017,133
2720,28,2,2018,65
2721,28,3,2011,38
2722,28,3,2012,59
2723,28,3,2013,26
2724,28,3,2014,27
2725,28,3,2015,146
2726,28,3,2016,90
2727,28,3,2017,86
2728,28,3,2018,140
2729,28,4,2011,26
2730,28,4,2012,16
2731,28,4,2013,76
2732,28,4,2014,79
2733,28,4,2015,202
2734,28,4,2016,191
2735,28,4,2017,83
2736,28,4,2018,78
2737,28,5,2011,33
2738,28,5,2012,59
2739,28,5,2013,28
2740,28,5,2014,115
2741,28,5,2015,86
2742,28,5,2016,115
2743,28,5,2017,75
2744,28,5,2018,74
2745,28,6,2011,22
2746,28,6,2012,20
2747,28,6,2013,12
2748,28,6,2014,112
2749,28,6,2015,125
2750,28,6,2016,97
2751,28,6,2017,132
2752,28,6,2018,66
2753,28,7,2011,43
2754,28,7,2012,10
2755,28,7,2013,22
2756,28,7,2014,147
2757,28,7,2015,144
2758,28,7,2016,122
2759,28,7,2017,122
2760,28,7,2018,115
2761,28,8,2011,47
2762,28,8,2012,30
2763,28,8,2013,58
2764,28,8,2014,151
2765,28,8,2015,120
2766,28,8,2016,134
2767,28,8,2017,103
2768,28,8,2018,117
2769,28,9,2010,4
2770,28,9,2011,42
2771,28,9,2012,26
2772,28,9,2013,41
2773,28,9,2014,135
2774,28,9,2015,189
2775,28,9,2016,127
2776,28,9,2017,50
2777,28,9,2018,120
2778,28,10,2010,1
2779,28,10,2011,78
2780,28,10,2012,34
2781,28,10,2013,47
2782,28,10,2014,154
2783,28,10,2015,109
2784,28,10,2016,183
2785,28,10,2017,106
2786,28,10,2018,92
2787,28,11,2010,6
2788,28,11,2011,87
2789,28,11,2012,54
2790,28,11,2013,45
2791,28,11,2014,128
2792,28,11,2015,227
2793,28,11,2016,197
2794,28,11,2017,121
2795,28,12,2010,13
2796,28,12,2011,35
2797,28,12,2012,20
2798,28,12,2013,31
2799,28,12,2014,132
2800,28,12,2015,168
2801,28,12,2016,114
2802,28,12,2017,121
2803,29,1,2011,35
2804,29,1,2012,32
2805,29,1,2013,32
2806,29,1,2014,20
2807,29,1,2015,110
2808,29,1,2016,142
2809,29,1,2017,110
2810,29,1,2018,220
2811,29,2,2011,13
2812,29,2,2012,18
2813,29,2,2013,27
2814,29,2,2014,27
2815,29,2,2015,124
2816,29,2,2016,226
2817,29,2,2017,139
2818,29,2,2018,225
2819,29,3,2011,27
2820,29,3,2012,34
2821,29,3,2013,26
2822,29,3,2014,33
2823,29,3,2015,90
2824,29,3,2016,216
2825,29,3,2017,143
2826,29,3,2018,100
2827,29,4,2011,47
2828,29,4,2012,24
2829,29,4,2013,20
2830,29,4,2014,29
2831,29,4,2015,100
2832,29,4,2016,83
2833,29,4,2017,56
2834,29,4,2018,100
2835,29,5,2011,36
2836,29,5,2012,22
2837,29,5,2013,26
2838,29,5,2014,103
2839,29,5,2015,147
2840,29,5,2016,109
2841,29,5,2017,114
2842,29,5,2018,159
2843,29,6,2011,51
2844,29,6,2012,42
2845,29,6,2013,11
2846,29,6,2014,125
2847,29,6,2015,214
2848,29,6,2016,106
2849,29,6,2017,124
2850,29,6,2018,128
2851,29,7,2011,55
2852,29,7,2012,31
2853,29,7,2013,29
2854,29,7,2014,116
2855,29,7,2015,255
2856,29,7,2016,230
2857,29,7,2017,135
2858,29,7,2018,147
2859,29,8,2011,62
2860,29,8,2012,75
2861,29,8,2013,85
2862,29,8,2014,171
2863,29,8,2015,165
2864,29,8,2016,300
2865,29,8,2017,155
2866,29,8,2018,110
2867,29,9,2010,7
2868,29,9,2011,45
2869,29,9,2012,23
2870,29,9,2013,28
2871,29,9,2014,187
2872,29,9,2015,222
2873,29,9,2016,208
2874,29,9,2017,158
2875,29,9,2018,65
2876,29,10,2010,4
2877,29,10,2011,53
2878,29,10,2012,35
2879,29,10,2013,34
2880,29,10,2014,249
2881,29,10,2015,179
2882,29,10,2016,225
2883,29,10,2017,158
2884,29,10,2018,66
2885,29,11,2010,3
2886,29,11,2011,48
2887,29,11,2012,18
2888,29,11,2013,24
2889,29,11,2014,134
2890,29,11,2015,132
2891,29,11,2016,147
2892,29,11,2017,73
2893,29,12,2010,8
2894,29,12,2011,19
2895,29,12,2012,31
2896,29,12,2013,28
2897,29,12,2014,86
2898,29,12,2015,89
2899,29,12,2016,98
2900,29,12,2017,88
2901,30,1,2011,37
2902,30,1,2012,35
2903,30,1,2013,35
2904,30,1,2014,27
2905,30,1,2015,72
2906,30,1,2016,67
2907,30,1,2017,126
2908,30,1,2018,158
2909,30,2,2011,30
2910,30,2,2012,26
2911,30,2,2013,34
2912,30,2,2014,12
2913,30,2,2015,43
2914,30,2,2016,79
2915,30,2,2017,159
2916,30,2,2018,187
2917,30,3,2011,34
2918,30,3,2012,40
2919,30,3,2013,28
2920,30,3,2014,28
2921,30,3,2015,89
2922,30,3,2016,71
2923,30,3,2017,97
2924,30,3,2018,205
2925,30,4,2011,48
2926,30,4,2012,43
2927,30,4,2013,25
2928,30,4,2014,57
2929,30,4,2015,61
2930,30,4,2016,48
2931,30,4,2017,150
2932,30,4,2018,101
2933,30,5,2011,24
2934,30,5,2012,35
2935,30,5,2013,23
2936,30,5,2014,130
2937,30,5,2015,111
2938,30,5,2016,137
2939,30,5,2017,169
2940,30,5,2018,112
2941,30,6,2011,92
2942,30,6,2012,16
2943,30,6,2013,21
2944,30,6,2014,149
2945,30,6,2015,95
2946,30,6,2016,189
2947,30,6,2017,128
2948,30,6,2018,110
2949,30,7,2010,1
2950,30,7,2011,96
2951,30,7,2012,48
2952,30,7,2013,58
2953,30,7,2014,115
2954,30,7,2015,105
2955,30,7,2016,146
2956,30,7,2017,100
2957,30,7,2018,91
2958,30,8,2011,107
2959,30,8,2012,64
2960,30,8,2013,69
2961,30,8,2014,138
2962,30,8,2015,173
2963,30,8,2016,211
2964,30,8,2017,146
2965,30,8,2018,112
2966,30,9,2011,111
2967,30,9,2012,73
2968,30,9,2013,42
2969,30,9,2014,150
2970,30,9,2015,136
2971,30,9,2016,193
2972,30,9,2017,182
2973,30,9,2018,88
2974,30,10,2010,2
2975,30,10,2011,98
2976,30,10,2012,65
2977,30,10,2013,28
2978,30,10,2014,60
2979,30,10,2015,194
2980,30,10,2016,245
2981,30,10,2017,249
2982,30,10,2018,135
2983,30,11,2010,9
2984,30,11,2011,82
2985,30,11,2012,50
2986,30,11,2013,45
2987,30,11,2014,55
2988,30,11,2015,219
2989,30,11,2016,139
2990,30,11,2017,132
2991,30,12,2010,22
2992,30,12,2011,46
2993,30,12,2012,28
2994,30,12,2013,32
2995,30,12,2014,67
2996,30,12,2015,57
2997,30,12,2016,102
2998,30,12,2017,145
2999,31,1,2011,30
3000,31,1,2012,41
3001,31,1,2013,22
3002,31,1,2014,23
3003,31,1,2015,55
3004,31,1,2016,61
