Community,Year,Total,asian,Black,hispanic,white,other 
10,2011,36083,1513,335,4272,29164,799
11,2011,27264,2444,250,6218,17761,591
12,2011,18437,2470,177,2204,13242,344
13,2011,18442,4541,473,3632,9358,438
14,2011,52079,8275,2215,25003,15349,1237
15,2011,64846,2918,812,27108,32643,1365
16,2011,56520,4641,1271,26359,22650,1599
17,2011,43025,1800,1035,11448,28340,402
18,2011,12973,611,575,8092,3615,80
19,2011,79210,1187,2485,63377,11298,863
20,2011,25489,355,379,22491,1880,384
21,2011,39721,1305,842,24563,12327,684
22,2011,74549,2124,3452,34677,32784,1512
23,2011,55011,271,22481,28612,2958,689
24,2011,85582,3413,6466,23239,49892,2572
25,2011,97643,481,81066,11132,4353,611
26,2011,17733,61,16954,353,315,50
27,2011,20665,57,18862,728,878,140
28,2011,61768,9626,18772,6186,25876,1308
29,2011,35276,99,31397,2470,811,499
30,2011,73826,181,8158,62928,2267,292
31,2011,34410,598,1117,27693,4617,385
32,2011,33442,5745,4131,2156,20378,1032
33,2011,22401,4450,5382,1393,10404,772
34,2011,14007,10347,1348,426,1521,365
35,2011,20323,2917,14365,485,2165,391
36,2011,6422,109,5946,209,142,16
37,2011,2457,  -,2268,152,37,  -
38,2011,22750,117,20624,574,719,716
39,2011,17601,1520,11916,667,2978,520
40,2011,12081,9,11595,158,48,271
41,2011,26893,3244,8047,1891,12584,1127
42,2011,26446,814,22555,695,1885,497
43,2011,49155,115,45990,784,1084,1182
44,2011,31359,129,30297,287,388,258
45,2011,9813,59,9553,62,53,86
46,2011,28095,116,20818,6083,782,296
47,2011,2601,  -,2601,  -,  -,  -
48,2011,13732,5,12835,443,308,141
49,2011,42505,185,40846,450,557,467
50,2011,6501,34,5380,551,464,72
51,2011,15305,8,9971,4580,592,154
52,2011,23817,28,684,18992,4049,64
53,2011,27973,67,26123,1351,280,152
54,2011,7090,26,6676,278,77,33
55,2011,8952,  -,566,4243,4078,65
56,2011,35632,422,1462,16618,16852,278
57,2011,13293,391,116,10126,2578,82
58,2011,44202,2955,677,37620,2844,106
59,2011,16336,3136,507,9612,2802,279
60,2011,33939,11726,951,9558,10842,862
61,2011,41083,815,9832,24990,5094,352
62,2011,19192,303,262,15385,3235,7
63,2011,41202,350,1342,38009,1460,41
64,2011,24962,319,140,12361,11871,271
65,2011,32749,178,1067,26395,4989,120
66,2011,55551,529,26100,26377,1873,672
67,2011,32156,19,29955,1563,235,384
68,2011,26121,76,24810,682,199,354
69,2011,32346,22,31077,358,466,423
70,2011,42752,284,20817,15455,5555,641
71,2011,45842,126,44402,689,231,394
72,2011,20815,101,7257,1414,11604,439
73,2011,27116,  -,25968,287,351,510
74,2011,18783,383,664,1205,16289,242
75,2011,22908,54,15125,638,6546,545
76,2011,13483,1487,104,1150,10130,612
77,2011,54873,6340,7853,8918,29912,1850
1,2012,55500,3205,14455,12383,23604,1853
2,2012,73723,16641,8936,13366,31806,2974
3,2012,56296,5773,10970,7468,30456,1629
4,2012,41483,4608,1394,7284,26554,1643
5,2012,34942,1563,713,4378,26996,1292
6,2012,99876,6735,3320,8099,78859,2863
7,2012,67260,4243,3134,4675,53151,2057
8,2012,86343,9906,7376,4627,62243,2191
9,2012,11150,241,148,752,9893,116
10,2012,36002,1170,169,4202,29644,817
11,2012,26755,2597,274,6125,17155,604
12,2012,18631,1971,169,2439,13655,397
13,2012,18743,5121,448,3092,9642,440
14,2012,51575,7883,2337,24892,14932,1531
15,2012,64523,2946,863,27576,31778,1360
16,2012,55417,4579,1543,24733,22975,1587
17,2012,43444,1755,895,12559,27862,373
18,2012,12992,519,582,7585,4032,274
19,2012,78155,1336,2196,62968,10879,776
20,2012,24450,384,502,21321,1900,343
21,2012,38191,1340,800,23368,11898,785
22,2012,74606,2234,3556,33868,33354,1594
23,2012,56248,305,20912,30847,3258,926
24,2012,84458,3373,6551,22477,49729,2328
25,2012,97611,475,79668,12270,4407,791
26,2012,17490,33,16705,362,277,113
27,2012,20234,80,18155,712,1079,208
28,2012,62560,10267,18559,6105,26071,1558
29,2012,35423,83,31112,2897,796,535
30,2012,73983,201,8831,62126,2545,280
31,2012,32998,718,1258,25699,4955,368
32,2012,35010,6162,4003,2115,21691,1039
33,2012,23190,5375,5488,1243,10433,651
34,2012,13635,10278,1248,408,1572,129
35,2012,20559,2639,14460,649,2356,455
36,2012,6474,124,5949,240,125,36
37,2012,2377,  -,2170,124,83,  -
38,2012,22634,89,21054,373,570,548
39,2012,17074,1440,11690,503,2925,516
40,2012,11868,14,11199,216,48,391
41,2012,26573,3249,7621,2101,12539,1063
42,2012,26024,797,21891,775,2062,499
43,2012,48552,124,45464,845,1326,793
44,2012,30946,93,29792,311,459,291
45,2012,9840,19,9617,68,37,99
46,2012,27601,16,20826,5810,672,277
47,2012,2442,  -,2419,  -,11,12
48,2012,13306,12,12566,465,161,102
49,2012,42327,169,40798,396,417,547
50,2012,6620,43,5474,335,633,135
51,2012,14635,1,9575,4139,781,139
52,2012,23013,66,562,18409,3938,38
53,2012,27572,70,25520,1488,281,213
54,2012,7382,26,6926,265,135,30
55,2012,9151,  -,447,4582,4105,17
56,2012,35542,311,1431,17270,16214,316
57,2012,13259,441,79,10197,2482,60
58,2012,44231,3253,453,37468,2798,259
59,2012,16064,2918,145,10095,2660,246
60,2012,32853,12214,863,8175,10982,619
61,2012,41178,993,9495,25278,5010,402
62,2012,19932,308,213,16566,2840,5
63,2012,40926,191,1352,37904,1432,47
64,2012,25200,361,340,12527,11672,300
65,2012,33595,193,1154,27169,5008,71
66,2012,54265,304,25023,26109,1973,856
67,2012,30798,6,28249,1890,244,409
68,2012,26020,62,24690,756,204,308
